
                  X               _temp_1     

                0.                 0.         
              102.2E-06          -33.1297E-36 
              200.88E-06         239.246E-18  
              302.946E-06        112.959E-12  
              401.563E-06         -5.00419E-09
              500.111E-06       -173.947E-12  
              601.951E-06          2.0597E-06 
              700.307E-06         12.3483E-06 
              802.001E-06         38.5262E-06 
              900.303E-06         86.8141E-06 
                1.00206E-03      166.729E-06  
                1.10049E-03      278.688E-06  
                1.20237E-03      430.793E-06  
                1.30088E-03      605.365E-06  
                1.40279E-03      810.098E-06  
                1.50128E-03        1.0201E-03 
                1.60315E-03        1.24157E-03
                1.70158E-03        1.439E-03  
                1.80001E-03        1.5992E-03 
                1.90182E-03        1.70492E-03
                2.00023E-03        1.73151E-03
                2.102E-03          1.67619E-03
                2.20037E-03        1.55125E-03
                2.30213E-03        1.3599E-03 
                2.40051E-03        1.13573E-03
                2.50234E-03      873.008E-06  
                2.60079E-03      610.178E-06  
                2.70266E-03      355.035E-06  
                2.80118E-03      145.176E-06  
                2.90315E-03      -21.2289E-06 
                3.00171E-03     -134.866E-06  
                3.10027E-03     -205.821E-06  
                3.20224E-03     -257.136E-06  
                3.30081E-03     -295.659E-06  
                3.40278E-03     -337.304E-06  
                3.50134E-03     -382.714E-06  
                3.6033E-03      -437.335E-06  
                3.70185E-03     -502.25E-06   
                3.80039E-03     -564.603E-06  
                3.90234E-03     -605.973E-06  
                4.00092E-03     -606.481E-06  
                4.10292E-03     -535.727E-06  
                4.20148E-03     -392.214E-06  
                4.30003E-03     -177.898E-06  
                4.402E-03         94.6568E-06 
                4.50058E-03      372.635E-06  
                4.60257E-03      653.645E-06  
                4.70117E-03      884.344E-06  
                4.80316E-03        1.05313E-03
                4.90169E-03        1.12895E-03
                5.00022E-03        1.11464E-03
                5.10214E-03        1.01144E-03
                5.20063E-03      855.664E-06  
                5.30248E-03      669.493E-06  
                5.40094E-03      497.16E-06   
                5.50282E-03      357.56E-06   
                5.60129E-03      278.91E-06   
                5.70315E-03      274.337E-06  
                5.80162E-03      347.662E-06  
                5.90009E-03      479.263E-06  
                6.00196E-03      652.867E-06  
                6.10044E-03      814.343E-06  
                6.20236E-03      930.956E-06  
                6.30093E-03      980.291E-06  
                6.40289E-03      946.923E-06  
                6.50146E-03      829.522E-06  
                6.60005E-03      641.151E-06  
                6.70202E-03      383.62E-06   
                6.80059E-03       88.1395E-06 
                6.9026E-03      -225.32E-06   
                7.00119E-03     -508.639E-06  
                7.1032E-03      -742.303E-06  
                7.20184E-03     -897.716E-06  
                7.30047E-03     -992.695E-06  
                7.40253E-03       -1.02257E-03
                7.50117E-03       -1.01054E-03
                7.60319E-03     -969.744E-06  
                7.70183E-03     -903.412E-06  
                7.80046E-03     -827.918E-06  
                7.90248E-03     -743.56E-06   
                8.00109E-03     -668.261E-06  
                8.10313E-03     -593.159E-06  
                8.20177E-03     -508.155E-06  
                8.30034E-03     -411.362E-06  
                8.40231E-03     -291.618E-06  
                8.5009E-03      -146.587E-06  
                8.60289E-03       18.5478E-06 
                8.70145E-03      187.745E-06  
                8.8E-03          364.581E-06  
                8.90194E-03      534.346E-06  
                9.00051E-03      680.879E-06  
                9.10249E-03      797.493E-06  
                9.20109E-03      864.782E-06  
                9.30309E-03      890.869E-06  
                9.40168E-03      861.359E-06  
                9.50023E-03      788.698E-06  
                9.60221E-03      671.617E-06  
                9.70081E-03      516.329E-06  
                9.80285E-03      328.598E-06  
                9.90146E-03      132.394E-06  
               10.E-03           -61.9375E-06 
               10.102E-03       -250.685E-06  
               10.2006E-03      -404.991E-06  
               10.3026E-03      -525.723E-06  
               10.4012E-03      -608.795E-06  
               10.5032E-03      -650.384E-06  
               10.6017E-03      -650.119E-06  
               10.7002E-03      -619.296E-06  
               10.8021E-03      -568.44E-06   
               10.9006E-03      -519.589E-06  
               11.0025E-03      -482.307E-06  
               11.1009E-03      -475.448E-06  
               11.2027E-03      -506.023E-06  
               11.3011E-03      -570.581E-06  
               11.4029E-03      -675.903E-06  
               11.5014E-03      -811.533E-06  
               11.6033E-03      -976.211E-06  
               11.7017E-03        -1.13681E-03
               11.8001E-03        -1.28195E-03
               11.9019E-03        -1.38683E-03
               12.0004E-03        -1.4306E-03 
               12.1023E-03        -1.40362E-03
               12.2007E-03        -1.31156E-03
               12.3025E-03        -1.16214E-03
               12.4009E-03      -971.991E-06  
