
                  X               _temp_1     

                0.                 0.         
              102.2E-06         -128.511E-30  
              200.877E-06        -11.5176E-12 
              302.929E-06         12.3641E-06 
              401.501E-06       -266.264E-06  
              503.348E-06          5.7492E-03 
              601.627E-06         84.8118E-03 
              703.137E-06        285.576E-03  
              801.176E-06        591.672E-03  
              902.583E-06          1.03864    
                1.00069E-03        1.55754    
                1.10229E-03        2.20913    
                1.20059E-03        2.74431    
                1.30232E-03        3.24667    
                1.40066E-03        3.5897     
                1.50237E-03        3.777      
                1.60068E-03        3.7389     
                1.70236E-03        3.23077    
                1.80069E-03        2.35553    
                1.90242E-03      993.637E-03  
                2.00079E-03     -528.223E-03  
                2.10249E-03       -2.03219    
                2.20076E-03       -3.21389    
                2.30234E-03       -4.11604    
                2.4005E-03        -4.6543     
                2.50209E-03       -5.12393    
                2.60035E-03       -5.02409    
                2.70205E-03       -4.47701    
                2.80041E-03       -3.40949    
                2.9022E-03        -2.23907    
                3.00059E-03       -1.08232    
                3.10237E-03     -178.598E-03  
                3.20078E-03      407.65E-03   
                3.30264E-03      800.213E-03  
                3.40116E-03      890.829E-03  
                3.50303E-03      845.838E-03  
                3.60153E-03      458.894E-03  
                3.70014E-03     -102.45E-03   
                3.80216E-03     -505.98E-03   
                3.90072E-03     -742.553E-03  
                4.00259E-03     -596.232E-03  
                4.10104E-03       57.1784E-03 
                4.20289E-03      882.722E-03  
                4.30135E-03        2.00283    
                4.40317E-03        2.78155    
                4.50159E-03        3.31704    
                4.6E-03            3.68402    
                4.70182E-03        3.62971    
                4.80028E-03        3.114      
                4.90216E-03        2.33037    
                5.00062E-03        1.26607    
                5.10243E-03      190.272E-03  
                5.2008E-03      -586.125E-03  
                5.30255E-03       -1.34309    
                5.40097E-03       -1.69202    
                5.50283E-03       -1.99922    
                5.60132E-03       -2.03242    
                5.70316E-03       -1.73203    
                5.80152E-03       -1.24955    
                5.90316E-03     -471.633E-03  
                6.00139E-03      229.046E-03  
                6.10305E-03      439.22E-03   
                6.20138E-03      495.241E-03  
                6.30324E-03      202.948E-03  
                6.40184E-03     -386.179E-03  
                6.50048E-03       -1.08936    
                6.60246E-03       -1.75023    
                6.70088E-03       -2.38773    
                6.80261E-03       -3.1797     
                6.90105E-03       -3.48846    
                7.00302E-03       -3.69975    
                7.1017E-03        -3.43359    
                7.20041E-03       -3.19091    
                7.30251E-03       -2.63211    
                7.40117E-03       -1.67334    
                7.5031E-03      -667.403E-03  
                7.6015E-03       525.705E-03  
                7.70329E-03        1.75582    
                7.80183E-03        2.79286    
                7.90048E-03        3.33873    
                8.00249E-03        3.48693    
                8.1011E-03         3.49729    
                8.20311E-03        3.1983     
                8.30163E-03        2.91099    
                8.40007E-03        2.54301    
                8.50181E-03        1.99264    
                8.60022E-03        1.2808     
                8.70217E-03      456.401E-03  
                8.80074E-03      -30.4455E-03 
                8.9027E-03      -420.362E-03  
                9.00122E-03     -569.749E-03  
                9.10308E-03     -401.105E-03  
                9.20147E-03     -314.338E-03  
                9.30324E-03      -30.9105E-03 
                9.40165E-03      152.112E-03  
                9.5001E-03       272.932E-03  
                9.60203E-03      190.959E-03  
                9.70064E-03     -380.551E-03  
                9.80266E-03     -867.554E-03  
                9.90127E-03       -1.37817    
               10.0033E-03        -2.18508    
               10.1018E-03        -2.70704    
               10.2002E-03        -3.02115    
               10.3021E-03        -3.2582     
               10.4006E-03        -3.21592    
               10.5024E-03        -2.86501    
               10.6008E-03        -2.06462    
               10.7025E-03        -1.09933    
               10.8009E-03       -38.5724E-03 
               10.9025E-03         1.04933    
               11.0008E-03         1.60769    
               11.1024E-03         1.65092    
               11.2006E-03         1.35279    
               11.3023E-03       588.427E-03  
               11.4007E-03      -296.282E-03  
               11.5026E-03        -1.41635    
               11.6011E-03        -2.43286    
               11.7028E-03        -3.13019    
               11.8011E-03        -3.5587     
               11.9027E-03        -3.22253    
               12.001E-03         -2.27608    
               12.1027E-03      -961.1E-03    
               12.2009E-03       643.051E-03  
               12.3025E-03         2.51662    
               12.4007E-03         3.99242    
               12.5024E-03         4.89372    
               12.6007E-03         5.23142    
               12.7024E-03         5.0779     
               12.8007E-03         4.34411    
               12.9024E-03         3.04127    
               13.0007E-03         1.69945    
               13.1025E-03       186.288E-03  
               13.201E-03         -1.03354    
               13.3027E-03        -1.70964    
               13.401E-03         -2.07221    
