
                  X               _temp_1     

                0.                 0.         
              102.195E-06         -4.88805E-36
              200.847E-06          9.5643E-18 
              302.889E-06         53.4801E-12 
              401.506E-06        745.876E-12  
              500.101E-06         35.1616E-09 
              602.085E-06        942.197E-09  
              700.646E-06          4.86943E-06
              802.592E-06         14.8134E-06 
              901.142E-06         33.33E-06   
                1.0031E-03        63.5984E-06 
                1.10167E-03      105.436E-06  
                1.20025E-03      158.528E-06  
                1.30221E-03      222.227E-06  
                1.40076E-03      289.515E-06  
                1.50271E-03      360.222E-06  
                1.60125E-03      427.261E-06  
                1.70317E-03      488.492E-06  
                1.8017E-03       534.656E-06  
                1.90024E-03      562.96E-06   
                2.00218E-03      569.215E-06  
                2.10073E-03      550.765E-06  
                2.20268E-03      509.432E-06  
                2.30124E-03      451.16E-06   
                2.40322E-03      380.621E-06  
                2.50182E-03      305.078E-06  
                2.60044E-03      230.1E-06    
                2.70244E-03      156.745E-06  
                2.80105E-03       95.1423E-06 
                2.90307E-03       40.5143E-06 
                3.00168E-03       -3.36985E-06
                3.1003E-03       -40.1385E-06 
                3.20231E-03      -74.7307E-06 
                3.30091E-03     -107.074E-06  
                3.4029E-03      -140.114E-06  
                3.50148E-03     -169.992E-06  
                3.60007E-03     -196.025E-06  
                3.70206E-03     -217.449E-06  
                3.80066E-03     -227.595E-06  
                3.90268E-03     -220.927E-06  
                4.00131E-03     -197.14E-06   
                4.10335E-03     -151.204E-06  
                4.202E-03        -91.3391E-06 
                4.30067E-03      -19.4005E-06 
                4.40275E-03       57.3815E-06 
                4.50141E-03      129.029E-06  
                4.60005E-03      192.024E-06  
                4.70207E-03      241.466E-06  
                4.80068E-03      267.841E-06  
                4.90269E-03      270.002E-06  
                5.00132E-03      250.131E-06  
                5.10334E-03      213.644E-06  
                5.20195E-03      175.27E-06   
                5.30054E-03      147.142E-06  
                5.40253E-03      137.01E-06   
                5.50111E-03      148.434E-06  
                5.60309E-03      181.497E-06  
                5.70167E-03      227.753E-06  
                5.80025E-03      283.308E-06  
                5.90223E-03      338.534E-06  
                6.00081E-03      383.438E-06  
                6.10279E-03      410.051E-06  
                6.20137E-03      408.633E-06  
                6.30335E-03      377.982E-06  
                6.40194E-03      321.729E-06  
                6.50056E-03      243.902E-06  
                6.60261E-03      150.106E-06  
                6.70127E-03       54.8304E-06 
                6.80336E-03      -37.4897E-06 
                6.90204E-03     -112.016E-06  
                7.0007E-03      -168.937E-06  
                7.10277E-03     -206.029E-06  
                7.20142E-03     -227.82E-06   
                7.30007E-03     -243.411E-06  
                7.40212E-03     -257.957E-06  
                7.50076E-03     -275.39E-06   
                7.60279E-03     -296.512E-06  
                7.70141E-03     -317.401E-06  
                7.80001E-03     -337.597E-06  
                7.90202E-03     -353.304E-06  
                8.00063E-03     -360.909E-06  
                8.10264E-03     -355.048E-06  
                8.20127E-03     -329.436E-06  
                8.30331E-03     -279.476E-06  
                8.40196E-03     -209.342E-06  
                8.50062E-03     -121.369E-06  
                8.60271E-03      -22.3084E-06 
                8.70138E-03       71.5998E-06 
                8.80003E-03      156.084E-06  
                8.90207E-03      225.773E-06  
                9.00068E-03      272.106E-06  
                9.10269E-03      296.125E-06  
                9.20129E-03      296.575E-06  
                9.3033E-03       279.319E-06  
                9.40191E-03      248.806E-06  
                9.50052E-03      212.179E-06  
                9.60252E-03      172.057E-06  
                9.70113E-03      134.658E-06  
                9.80314E-03       99.5836E-06 
                9.90176E-03       69.3321E-06 
               10.0004E-03        45.1583E-06 
               10.1024E-03        22.5747E-06 
               10.2011E-03         2.03336E-06
               10.3031E-03       -20.6212E-06 
               10.4018E-03       -46.7134E-06 
               10.5005E-03       -73.0111E-06 
               10.6025E-03      -100.799E-06  
               10.7012E-03      -125.493E-06  
               10.8033E-03      -147.086E-06  
               10.9019E-03      -167.646E-06  
               11.0006E-03      -187.843E-06  
               11.1027E-03      -210.202E-06  
               11.2014E-03      -233.42E-06   
               11.3001E-03      -256.251E-06  
               11.4022E-03      -283.445E-06  
               11.5008E-03      -314.164E-06  
               11.6029E-03      -350.324E-06  
               11.7016E-03      -388.347E-06  
               11.8002E-03      -425.789E-06  
               11.9023E-03      -455.186E-06  
               12.0009E-03      -469.664E-06  
               12.103E-03       -464.306E-06  
               12.2016E-03      -439.298E-06  
               12.3002E-03      -397.171E-06  
