
                  X               _temp_1     

                0.                 0.         
              102.181E-06        -26.8861E-30 
              200.734E-06         10.5842E-12 
              302.625E-06         13.291E-06  
              401.012E-06        239.134E-06  
              502.672E-06         11.4227E-03 
              600.885E-06         99.1124E-03 
              702.401E-06        315.203E-03  
              800.484E-06        691.744E-03  
              901.992E-06          1.24978    
                1.00018E-03        1.87102    
                1.10181E-03        2.57235    
                1.20012E-03        2.9946     
                1.30177E-03        3.17233    
                1.40335E-03        2.8932     
                1.50152E-03        2.30885    
                1.60307E-03        1.51972    
                1.70123E-03      587.064E-03  
                1.80279E-03     -298.302E-03  
                1.90094E-03       -1.07129    
                2.00251E-03       -1.89851    
                2.10075E-03       -2.60666    
                2.2024E-03        -3.22666    
                2.30066E-03       -3.49018    
                2.40234E-03       -3.33421    
                2.50066E-03       -2.88352    
                2.60242E-03       -2.02655    
                2.7008E-03        -1.23531    
                2.80257E-03     -452.067E-03  
                2.90097E-03     -167.818E-03  
                3.00278E-03      -65.8294E-03 
                3.1012E-03      -369.168E-03  
                3.20299E-03     -696.052E-03  
                3.30135E-03     -849.383E-03  
                3.40309E-03     -566.75E-03   
                3.50143E-03      -95.5861E-03 
                3.60317E-03      404.421E-03  
                3.70154E-03      522.146E-03  
                3.80333E-03      661.075E-03  
                3.90177E-03      632.454E-03  
                4.00028E-03      977.201E-03  
                4.10225E-03        1.57029    
                4.20086E-03        2.1353     
                4.30283E-03        2.47271    
                4.40133E-03        2.47517    
                4.50315E-03        2.19636    
                4.60153E-03        1.74765    
                4.70327E-03      971.062E-03  
                4.80161E-03       26.5443E-03 
                4.90332E-03     -814.691E-03  
                5.00165E-03       -1.41762    
                5.10336E-03       -1.24813    
                5.2017E-03      -446.009E-03  
                5.30005E-03      580.983E-03  
                5.40181E-03        1.30962    
                5.50016E-03        1.40885    
                5.60186E-03        1.01678    
                5.70019E-03      623.573E-03  
                5.80195E-03       58.5799E-03 
                5.9003E-03      -476.695E-03  
                6.00203E-03       -1.18916    
                6.10035E-03       -2.03437    
                6.2021E-03        -2.85454    
                6.30059E-03       -3.48776    
                6.40253E-03       -3.80719    
                6.50105E-03       -4.10072    
                6.603E-03         -4.07426    
                6.70147E-03       -3.61425    
                6.80329E-03       -2.45655    
                6.90168E-03     -842.978E-03  
                7.00008E-03      601.557E-03  
                7.10192E-03        1.56445    
                7.20038E-03        1.78255    
                7.30226E-03        1.42141    
                7.40078E-03        1.27751    
                7.50261E-03        1.32335    
                7.60101E-03        1.54897    
                7.70288E-03        1.54886    
                7.80144E-03        1.03792    
                7.90003E-03      225.29E-03   
                8.00207E-03     -309.947E-03  
                8.10074E-03     -188.791E-03  
                8.20275E-03      783.202E-03  
                8.30135E-03        1.92648    
                8.40002E-03        2.55477    
                8.50209E-03        2.68618    
                8.60072E-03        2.34578    
                8.7027E-03         1.91665    
                8.8012E-03         1.75296    
                8.903E-03          1.17253    
                9.00133E-03      434.287E-03  
                9.10304E-03     -539.321E-03  
                9.20142E-03       -1.61031    
                9.30318E-03       -2.06769    
                9.40152E-03       -2.48702    
                9.50325E-03       -2.57828    
                9.60165E-03       -2.3182     
                9.70018E-03       -1.91497    
                9.8021E-03      -797.575E-03  
                9.90067E-03      395.259E-03  
               10.0027E-03         1.09087    
               10.1012E-03         1.12837    
               10.2032E-03       178.527E-03  
               10.3018E-03      -774.114E-03  
               10.4004E-03        -1.21548    
               10.5024E-03        -1.30267    
               10.601E-03         -1.19887    
               10.703E-03         -1.40963    
               10.8017E-03        -2.02338    
               10.9003E-03        -2.62988    
               11.0024E-03        -2.78239    
               11.101E-03         -2.30184    
               11.2029E-03        -1.38365    
               11.3014E-03      -706.773E-03  
               11.4033E-03      -306.782E-03  
               11.5018E-03      -122.136E-03  
               11.6003E-03      -126.283E-03  
               11.7021E-03       134.129E-03  
               11.8006E-03       389.904E-03  
               11.9025E-03       767.224E-03  
               12.001E-03          1.24464    
               12.1028E-03         1.77818    
               12.2012E-03         2.28794    
               12.303E-03          2.60061    
               12.4016E-03         2.35545    
               12.5002E-03         1.78816    
               12.6023E-03         1.12368    
               12.701E-03        992.907E-03  
               12.8029E-03         1.20806    
               12.9015E-03         1.37784    
               13.0002E-03         1.19615    
               13.1022E-03       432.877E-03  
               13.2009E-03      -148.651E-03  
               13.303E-03       -156.84E-03   
               13.4017E-03       445.904E-03  
