
                  X               _temp_2     

                0.                 0.         
                5.00134E-03      -11.3037E-03 
               10.0028E-03        15.215E-03  
               15.0039E-03       -11.3817E-03 
               20.0051E-03         4.57062E-03
               25.0067E-03        27.4012E-03 
               30.0012E-03        -8.81121E-03
               35.0027E-03        -3.29096E-03
               40.0043E-03       -21.5034E-03 
               45.0059E-03       -18.3949E-03 
               50.0005E-03        33.2732E-03 
               55.0021E-03         7.61061E-03
               60.0037E-03       -13.0353E-03 
               65.004E-03        -12.7597E-03 
               70.0041E-03       -14.2007E-03 
               75.0034E-03        36.2525E-03 
               80.0024E-03        24.0201E-03 
               85.0013E-03       -27.6565E-03 
               90.0013E-03       -17.4556E-03 
               95.0007E-03        -5.3944E-03 
              100.E-03            23.9713E-03 
              105.E-03            21.6594E-03 
              110.006E-03        -38.1341E-03 
              115.005E-03        -21.8734E-03 
              120.006E-03         20.524E-03  
              125.005E-03         24.8474E-03 
              130.002E-03         15.8613E-03 
              135.006E-03        -33.1093E-03 
              140.003E-03        -23.0843E-03 
              145.001E-03         28.9417E-03 
              150.005E-03         16.4773E-03 
              155.002E-03         -4.56874E-03
              160.006E-03        -23.1051E-03 
              165.003E-03        -14.2358E-03 
              170.001E-03         29.1126E-03 
              175.005E-03          7.48826E-03
              180.002E-03        -19.6636E-03 
              185.006E-03         -1.34927E-03
              190.004E-03         10.7437E-03 
              195.001E-03         22.6309E-03 
              200.005E-03        -11.2004E-03 
              205.002E-03        -38.9768E-03 
              210.007E-03          8.7451E-03 
              215.004E-03         32.3053E-03 
              220.001E-03         11.1029E-03 
              225.005E-03        -25.6278E-03 
              230.002E-03        -40.9864E-03 
              235.007E-03         20.0127E-03 
              240.004E-03         49.3406E-03 
              245.001E-03          1.55444E-03
              250.005E-03        -33.3639E-03 
              255.006E-03        -26.8848E-03 
              260.007E-03         24.6944E-03 
              265.E-03            41.7417E-03 
              270.001E-03        -19.861E-03  
              275.002E-03        -41.7037E-03 
              280.003E-03          2.27161E-03
              285.003E-03         33.6019E-03 
              290.004E-03         20.7614E-03 
              295.005E-03        -32.7801E-03 
              300.005E-03        -34.5404E-03 
              305.006E-03         29.4086E-03 
              310.007E-03         38.0613E-03 
              315.001E-03         -7.45004E-03
              320.001E-03        -36.0588E-03 
              325.002E-03        -15.6988E-03 
              330.003E-03         35.5404E-03 
              335.003E-03         23.9816E-03 
              340.004E-03        -31.1831E-03 
              345.005E-03        -24.3266E-03 
              350.005E-03         17.391E-03  
              355.006E-03         30.1851E-03 
              360.007E-03         -2.98989E-03
              365.001E-03        -40.5322E-03 
              370.001E-03         -4.25437E-03
              375.002E-03         44.6842E-03 
              380.003E-03         15.5714E-03 
              385.003E-03        -34.2213E-03 
              390.004E-03        -37.3042E-03 
              395.005E-03         15.8024E-03 
              400.006E-03         51.5056E-03 
              405.006E-03       -654.785E-06  
              410.007E-03        -49.0764E-03 
              415.001E-03        -16.643E-03  
              420.001E-03         34.1676E-03 
              425.002E-03         36.0994E-03 
              430.003E-03        -18.2932E-03 
              435.004E-03        -45.0281E-03 
              440.004E-03          8.95485E-03
              445.005E-03         42.1685E-03 
              450.006E-03          5.13913E-03
              455.006E-03        -36.5851E-03 
              460.E-03           -27.4209E-03 
              465.001E-03         28.7785E-03 
              470.001E-03         39.83E-03   
              475.002E-03        -17.6349E-03 
              480.003E-03        -39.9421E-03 
              485.004E-03         -1.38668E-03
              490.004E-03         35.8036E-03 
              495.005E-03         21.4856E-03 
              500.006E-03        -28.7909E-03 
              505.006E-03        -28.2218E-03 
              510.E-03            20.035E-03  
              515.001E-03         26.733E-03  
              520.002E-03         -8.1323E-03 
              525.002E-03        -29.7771E-03 
              530.003E-03         -4.29361E-03
              535.004E-03         34.7708E-03 
              540.004E-03         13.055E-03  
              545.005E-03        -32.2736E-03 
              550.006E-03        -23.3609E-03 
              555.007E-03         19.3297E-03 
              560.E-03            35.6867E-03 
              565.001E-03         -1.68079E-03
              570.002E-03        -40.1843E-03 
              575.002E-03        -12.5788E-03 
              580.003E-03         30.9069E-03 
              585.004E-03         22.4544E-03 
              590.004E-03        -15.8084E-03 
              595.005E-03        -29.7391E-03 
              600.006E-03          4.71067E-03
              605.007E-03         32.0088E-03 
              610.E-03             3.67085E-03
              615.001E-03        -27.2535E-03 
              620.002E-03        -13.6707E-03 
