
                  X               _temp_2     

                0.                 0.         
                5.00659E-03      107.226E-03  
               10.0067E-03       126.136E-03  
               15.0055E-03      -162.564E-03  
               20.0038E-03      -156.492E-03  
               25.0039E-03       159.797E-03  
               30.0038E-03        56.9824E-03 
               35.0029E-03        56.7978E-03 
               40.003E-03       -146.151E-03  
               45.0021E-03      -128.506E-03  
               50.0003E-03       203.129E-03  
               55.007E-03         84.0444E-03 
               60.E-03           -18.3938E-03 
               65.0062E-03       -54.1791E-03 
               70.0053E-03       -67.4629E-03 
               75.0042E-03       101.113E-03  
               80.0032E-03        28.9359E-03 
               85.0022E-03      -131.497E-03  
               90.0014E-03        34.1009E-03 
               95.0004E-03        60.2579E-03 
              100.006E-03         30.5289E-03 
              105.006E-03        -15.8662E-03 
              110.005E-03       -162.831E-03  
              115.004E-03         75.9616E-03 
              120.003E-03        163.655E-03  
              125.002E-03        -27.0163E-03 
              130.001E-03        -93.9347E-03 
              135.005E-03       -155.876E-03  
              140.006E-03         46.8394E-03 
              145.001E-03        187.73E-03   
              150.005E-03        -17.077E-03  
              155.007E-03        -97.6372E-03 
              160.007E-03        -32.9373E-03 
              165.004E-03         39.3139E-03 
              170.005E-03        133.126E-03  
              175.002E-03        -50.2687E-03 
              180.001E-03       -124.957E-03  
              185.005E-03         43.8972E-03 
              190.006E-03         31.1707E-03 
              195.001E-03         42.2261E-03 
              200.005E-03        -74.7829E-03 
              205.007E-03        -99.8951E-03 
              210.005E-03        103.443E-03  
              215.002E-03         89.9744E-03 
              220.004E-03         -9.7893E-03 
              225.005E-03        -52.8817E-03 
              230.002E-03        -69.9546E-03 
              235.001E-03         64.6204E-03 
              240.004E-03         71.5515E-03 
              245.001E-03        -65.5447E-03 
              250.004E-03        -19.3333E-03 
              255.004E-03         11.0718E-03 
              260.005E-03         30.2495E-03 
              265.006E-03         28.8635E-03 
              270.006E-03        -83.017E-03  
              275.E-03             9.30654E-03
              280.001E-03        106.215E-03  
              285.001E-03         13.0428E-03 
              290.002E-03        -48.248E-03  
              295.003E-03       -104.167E-03  
              300.004E-03        -16.6093E-03 
              305.004E-03        125.835E-03  
              310.005E-03         36.9798E-03 
              315.006E-03        -72.5089E-03 
              320.006E-03        -55.1797E-03 
              325.E-03           -15.9832E-03 
              330.001E-03         90.6864E-03 
              335.002E-03         49.9245E-03 
              340.002E-03        -63.8594E-03 
              345.003E-03         -8.84923E-03
              350.004E-03          2.37333E-03
              355.004E-03         12.5855E-03 
              360.005E-03        841.852E-06  
              365.006E-03        -57.3059E-03 
              370.007E-03         12.6673E-03 
              375.E-03            59.3958E-03 
              380.001E-03         -7.38503E-03
              385.002E-03        -28.5389E-03 
              390.002E-03        -40.8405E-03 
              395.003E-03          5.15789E-03
              400.004E-03         80.215E-03  
              405.004E-03          9.51867E-03
              410.005E-03        -39.1271E-03 
              415.006E-03        -21.8176E-03 
              420.007E-03        -18.6031E-03 
              425.E-03            38.3877E-03 
              430.001E-03         14.8022E-03 
              435.002E-03        -26.116E-03  
              440.002E-03         24.1633E-03 
              445.003E-03          8.5048E-03 
              450.004E-03        -13.1755E-03 
              455.005E-03        -18.29E-03   
              460.005E-03        -24.5265E-03 
              465.006E-03         45.1162E-03 
              470.007E-03         58.6579E-03 
              475.E-03           -38.8886E-03 
              480.001E-03        -62.8615E-03 
              485.002E-03        -39.7625E-03 
              490.002E-03         37.1388E-03 
              495.003E-03         90.3237E-03 
              500.004E-03        -12.9673E-03 
              505.005E-03        -64.5927E-03 
              510.005E-03        -23.8533E-03 
              515.006E-03         23.3822E-03 
              520.007E-03         57.0312E-03 
              525.E-03            -5.62314E-03
              530.001E-03        -48.8184E-03 
              535.002E-03         12.3925E-03 
              540.003E-03         24.9356E-03 
              545.003E-03        -12.4525E-03 
              550.004E-03        -37.4586E-03 
              555.005E-03        -29.2801E-03 
              560.005E-03         55.0755E-03 
              565.006E-03         62.3389E-03 
              570.007E-03        -43.6745E-03 
              575.E-03           -64.7346E-03 
              580.001E-03        -18.0568E-03 
              585.002E-03         59.8855E-03 
              590.003E-03         68.0779E-03 
              595.003E-03        -38.5338E-03 
              600.004E-03        -57.4593E-03 
              605.005E-03          7.08258E-03
              610.005E-03         31.7539E-03 
              615.006E-03         13.7516E-03 
              620.007E-03        -29.5342E-03 
              625.001E-03        -11.5792E-03 
