
                  X               _temp_2     

                0.                 0.         
                5.00534E-03      589.041E-03  
               10.0055E-03       359.36E-03   
               15.006E-03       -472.519E-03  
               20.0046E-03      -599.367E-03  
               25.0026E-03       248.813E-03  
               30.0025E-03       528.352E-03  
               35.0029E-03       218.576E-03  
               40.0021E-03      -532.709E-03  
               45.0067E-03      -413.573E-03  
               50.0066E-03       469.083E-03  
               55.0003E-03       453.868E-03  
               60.0066E-03      -164.47E-03   
               65.0042E-03      -514.242E-03  
               70.0037E-03       -48.5834E-03 
               75.0029E-03       577.809E-03  
               80.0021E-03       178.083E-03  
               85.0068E-03      -573.199E-03  
               90.006E-03       -275.096E-03  
               95.0056E-03       411.673E-03  
              100.005E-03        511.251E-03  
              105.003E-03       -268.427E-03  
              110.001E-03       -696.191E-03  
              115.001E-03         98.2475E-03 
              120.E-03           711.657E-03  
              125.006E-03        150.562E-03  
              130.001E-03       -608.274E-03  
              135.004E-03       -497.016E-03  
              140.001E-03        427.911E-03  
              145.002E-03        681.76E-03   
              150.004E-03       -231.423E-03  
              155.007E-03       -612.395E-03  
              160.004E-03       -165.652E-03  
              165.006E-03        536.864E-03  
              170.001E-03        370.1E-03    
              175.003E-03       -369.316E-03  
              180.007E-03       -432.345E-03  
              185.002E-03         96.6458E-03 
              190.005E-03        374.868E-03  
              195.004E-03         71.4629E-03 
              200.002E-03       -287.839E-03  
              205.005E-03       -239.684E-03  
              210.002E-03        213.738E-03  
              215.007E-03        183.697E-03  
              220.004E-03        -48.7575E-03 
              225.E-03          -199.687E-03  
              230.006E-03       -116.269E-03  
              235.003E-03        216.138E-03  
              240.E-03           116.941E-03  
              245.005E-03       -146.565E-03  
              250.005E-03       -213.133E-03  
              255.006E-03          8.25801E-03
              260.006E-03        262.461E-03  
              265.E-03           102.059E-03  
              270.001E-03       -306.313E-03  
              275.001E-03       -217.027E-03  
              280.002E-03        216.059E-03  
              285.003E-03        317.084E-03  
              290.004E-03        -52.4518E-03 
              295.004E-03       -435.021E-03  
              300.005E-03       -105.778E-03  
              305.006E-03        412.147E-03  
              310.006E-03        234.881E-03  
              315.E-03          -286.109E-03  
              320.001E-03       -382.364E-03  
              325.001E-03        118.77E-03   
              330.002E-03        467.963E-03  
              335.003E-03         14.7938E-03 
              340.004E-03       -396.515E-03  
              345.004E-03       -153.015E-03  
              350.005E-03        294.164E-03  
              355.006E-03        267.614E-03  
              360.006E-03       -174.69E-03   
              365.E-03          -291.944E-03  
              370.001E-03         78.137E-03  
              375.002E-03        271.647E-03  
              380.002E-03          1.08375E-03
              385.003E-03       -177.138E-03  
              390.004E-03        -90.6883E-03 
              395.004E-03        163.691E-03  
              400.005E-03        110.754E-03  
              405.006E-03       -108.058E-03  
              410.007E-03        -77.5153E-03 
              415.E-03            20.4826E-03 
              420.001E-03         90.9298E-03 
              425.002E-03         24.309E-03  
              430.002E-03        -56.6359E-03 
              435.003E-03        -56.3661E-03 
              440.004E-03          4.11961E-03
              445.004E-03         56.2795E-03 
              450.005E-03         82.3777E-03 
              455.006E-03        -27.2755E-03 
              460.007E-03       -176.011E-03  
              465.E-03            -3.63731E-03
              470.001E-03        169.99E-03   
              475.002E-03        133.316E-03  
              480.002E-03       -165.741E-03  
              485.003E-03       -271.446E-03  
              490.004E-03        118.532E-03  
              495.005E-03        320.49E-03   
              500.005E-03          9.89151E-03
              505.006E-03       -367.539E-03  
              510.007E-03       -148.802E-03  
              515.E-03           314.792E-03  
              520.001E-03        305.782E-03  
              525.002E-03       -243.182E-03  
              530.003E-03       -386.946E-03  
              535.003E-03        110.629E-03  
              540.004E-03        400.595E-03  
              545.005E-03         54.2281E-03 
              550.005E-03       -397.389E-03  
              555.006E-03       -176.253E-03  
              560.007E-03        331.621E-03  
              565.E-03           261.421E-03  
              570.001E-03       -217.774E-03  
              575.002E-03       -309.323E-03  
              580.003E-03         95.068E-03  
              585.003E-03        345.884E-03  
              590.004E-03          6.15282E-03
              595.005E-03       -305.932E-03  
              600.005E-03       -111.154E-03  
              605.006E-03        254.894E-03  
              610.007E-03        192.076E-03  
              615.001E-03       -145.569E-03  
              620.001E-03       -245.629E-03  
              625.002E-03         43.4088E-03 
              630.003E-03        264.299E-03  
              635.003E-03         60.5894E-03 
              640.004E-03       -172.083E-03  
              645.005E-03       -190.99E-03   
              650.005E-03        115.138E-03  
