
                  X               _temp_2     

                0.                 0.         
                5.00418E-03     -267.233E-06  
               10.0039E-03      -207.361E-06  
               15.0043E-03       -67.087E-06  
               20.0001E-03      -368.828E-06  
               25.005E-03          3.71828E-06
               30.0035E-03       115.388E-06  
               35.0013E-03        38.1058E-06 
               40.0004E-03       116.552E-06  
               45.0008E-03       -21.0469E-06 
               50.0023E-03       148.858E-06  
               55.0032E-03      -102.326E-06  
               60.0028E-03      -111.99E-06   
               65.0026E-03        59.578E-06  
               70.0037E-03      -360.77E-06   
               75.0047E-03      -304.936E-06  
               80.0012E-03      -314.442E-06  
               85.0027E-03      -518.498E-06  
               90.0035E-03        34.9271E-06 
               95.0041E-03      -119.32E-06   
              100.004E-03         48.117E-06  
              105.005E-03        378.378E-06  
              110.001E-03        150.713E-06  
              115.003E-03        263.225E-06  
              120.004E-03        117.932E-06  
              125.005E-03        153.805E-06  
              130.001E-03         72.1986E-06 
              135.E-03          -351.655E-06  
              140.002E-03       -226.234E-06  
              145.003E-03       -449.977E-06  
              150.003E-03       -570.337E-06  
              155.002E-03       -159.618E-06  
              160.001E-03       -338.274E-06  
              165.001E-03        248.9E-06    
              170.001E-03        392.722E-06  
              175.004E-03        183.673E-06  
              180.001E-03        558.185E-06  
              185.001E-03        425.184E-06  
              190.E-03           286.882E-06  
              195.005E-03        221.528E-06  
              200.002E-03       -102.308E-06  
              205.003E-03       -191.753E-06  
              210.005E-03       -525.239E-06  
              215.004E-03       -645.369E-06  
              220.003E-03       -428.214E-06  
              225.003E-03       -332.069E-06  
              230.002E-03        264.84E-06   
              235.002E-03        233.511E-06  
              240.002E-03        375.812E-06  
              245.004E-03        803.479E-06  
              250.003E-03        480.504E-06  
              255.002E-03        421.845E-06  
              260.002E-03        473.456E-06  
              265.001E-03          4.88489E-06
              270.001E-03       -165.777E-06  
              275.005E-03       -473.149E-06  
              280.004E-03       -705.69E-06   
              285.004E-03       -469.162E-06  
              290.003E-03       -356.25E-06   
              295.002E-03         42.002E-06  
              300.002E-03        207.294E-06  
              305.001E-03        496.769E-06  
              310.001E-03        723.242E-06  
              315.005E-03        460.593E-06  
              320.004E-03        619.124E-06  
              325.004E-03        563.929E-06  
              330.003E-03         26.8911E-06 
              335.003E-03         21.9033E-06 
              340.002E-03       -413.063E-06  
              345.001E-03       -636.142E-06  
              350.001E-03       -448.766E-06  
              355.E-03          -549.434E-06  
              360.004E-03        -83.1792E-06 
              365.004E-03        187.382E-06  
              370.003E-03        329.435E-06  
              375.003E-03        538.669E-06  
              380.002E-03        489.139E-06  
              385.001E-03        631.407E-06  
              390.001E-03        450.359E-06  
              395.E-03           126.875E-06  
              400.005E-03        152.589E-06  
              405.004E-03       -353.192E-06  
              410.003E-03       -473.715E-06  
              415.003E-03       -525.177E-06  
              420.002E-03       -609.453E-06  
              425.001E-03        -63.2992E-06 
              430.001E-03         -8.97888E-06
              435.E-03           101.124E-06  
              440.005E-03        433.339E-06  
              445.004E-03        365.32E-06   
              450.003E-03        400.03E-06   
              455.003E-03        340.617E-06  
              460.002E-03        177.157E-06  
              465.001E-03        148.426E-06  
              470.001E-03       -224.153E-06  
              475.E-03          -348.799E-06  
              480.005E-03       -471.076E-06  
              485.004E-03       -451.584E-06  
              490.003E-03       -133.392E-06  
              495.003E-03       -224.854E-06  
              500.002E-03          4.50177E-06
              505.005E-03        275.509E-06  
              510.003E-03         63.8397E-06 
              515.001E-03        220.625E-06  
              520.004E-03        250.091E-06  
              525.002E-03        117.739E-06  
              530.005E-03        110.964E-06  
              535.002E-03       -200.079E-06  
              540.E-03          -225.267E-06  
              545.003E-03       -402.976E-06  
              550.001E-03       -342.524E-06  
              555.004E-03       -178.885E-06  
              560.002E-03       -203.705E-06  
              565.005E-03         90.8619E-06 
              570.003E-03         86.3878E-06 
              575.001E-03         10.5463E-06 
              580.004E-03        235.951E-06  
              585.001E-03         85.9355E-06 
              590.004E-03        105.108E-06  
              595.002E-03         49.4704E-06 
              600.E-03          -144.091E-06  
              605.003E-03       -207.266E-06  
              610.001E-03       -430.096E-06  
              615.004E-03       -186.062E-06  
              620.002E-03       -181.005E-06  
              625.005E-03       -193.936E-06  
              630.003E-03         81.8751E-06 
              635.E-03           -13.1663E-06 
              640.003E-03          7.64192E-06
              645.001E-03        100.567E-06  
              650.004E-03         17.3615E-06 
