
                  X               _temp_1     

                0.                 0.         
              403.244E-06         81.5232E-12 
              801.384E-06          1.5094E-06 
                1.20463E-03       47.2408E-06 
                1.60277E-03      207.669E-06  
                2.00091E-03      477.302E-06  
                2.40415E-03      754.33E-06   
                2.80229E-03      814.263E-06  
                3.20043E-03      633.799E-06  
                3.60368E-03      344.892E-06  
                4.00182E-03      151.39E-06   
                4.40506E-03       21.1451E-06 
                4.8032E-03      -162.731E-06  
                5.20134E-03     -334.991E-06  
                5.60459E-03     -253.561E-06  
                6.00273E-03      113.121E-06  
                6.40087E-03      431.124E-06  
                6.80411E-03      446.681E-06  
                7.20225E-03      298.901E-06  
                7.60039E-03      278.855E-06  
                8.00363E-03      462.095E-06  
                8.40177E-03      586.381E-06  
                8.80502E-03      482.948E-06  
                9.20316E-03      237.311E-06  
                9.6013E-03       -15.5196E-06 
               10.0045E-03      -207.623E-06  
               10.4027E-03      -343.48E-06   
               10.8008E-03      -371.654E-06  
               11.2041E-03      -234.285E-06  
               11.6022E-03        14.7541E-06 
               12.0003E-03       273.188E-06  
               12.4036E-03       457.253E-06  
               12.8017E-03       543.767E-06  
               13.205E-03        486.442E-06  
               13.6031E-03       294.379E-06  
               14.0013E-03        56.3751E-06 
               14.4045E-03       -98.674E-06  
               14.8026E-03       -92.8497E-06 
               15.2008E-03       -59.2457E-06 
               15.604E-03       -162.29E-06   
               16.0022E-03      -391.21E-06   
               16.4003E-03      -536.526E-06  
               16.8035E-03      -371.066E-06  
               17.2017E-03       -20.7596E-06 
               17.6049E-03       239.042E-06  
               18.0031E-03       296.519E-06  
               18.4012E-03       302.018E-06  
               18.8045E-03       376.153E-06  
               19.2026E-03       342.703E-06  
               19.6007E-03        57.1625E-06 
               20.004E-03       -373.016E-06  
               20.4021E-03      -589.766E-06  
               20.8003E-03      -503.149E-06  
               21.2035E-03      -337.004E-06  
               21.6016E-03      -291.634E-06  
               22.0049E-03      -334.903E-06  
               22.403E-03       -325.141E-06  
               22.8012E-03      -234.157E-06  
               23.2044E-03       -99.2389E-06 
               23.6026E-03        75.8624E-06 
               24.0007E-03       229.919E-06  
               24.4039E-03       266.8E-06    
               24.8021E-03       123.513E-06  
               25.2002E-03      -112.047E-06  
               25.6035E-03      -323.825E-06  
               26.0016E-03      -504.234E-06  
               26.4048E-03      -685.852E-06  
               26.803E-03       -781.809E-06  
               27.2011E-03      -648.574E-06  
               27.6044E-03      -318.969E-06  
               28.0025E-03       -44.5028E-06 
               28.4007E-03        -5.97871E-06
               28.8039E-03      -155.497E-06  
               29.202E-03       -213.815E-06  
               29.6002E-03       -72.1958E-06 
               30.0034E-03       116.098E-06  
               30.4016E-03        97.845E-06  
               30.8048E-03      -133.305E-06  
               31.2029E-03      -361.589E-06  
               31.6011E-03      -460.348E-06  
               32.0043E-03      -556.156E-06  
               32.4025E-03      -728.004E-06  
               32.8006E-03      -828.608E-06  
               33.2038E-03      -626.786E-06  
               33.602E-03       -217.652E-06  
               34.0001E-03       100.976E-06  
               34.4034E-03       171.207E-06  
               34.8015E-03        90.2152E-06 
               35.2048E-03       -13.0069E-06 
               35.6029E-03      -108.116E-06  
               36.001E-03       -175.565E-06  
               36.4043E-03      -198.146E-06  
               36.8024E-03      -199.337E-06  
               37.2006E-03      -310.347E-06  
               37.6038E-03      -522.433E-06  
               38.0019E-03      -660.922E-06  
               38.4001E-03      -609.536E-06  
               38.8033E-03      -457.176E-06  
               39.2015E-03      -329.908E-06  
               39.6047E-03      -169.873E-06  
               40.0029E-03       118.433E-06  
               40.401E-03        422.55E-06   
               40.8042E-03       478.238E-06  
               41.2024E-03       206.594E-06  
               41.6005E-03      -173.643E-06  
               42.0038E-03      -363.624E-06  
               42.4019E-03      -320.936E-06  
               42.8E-03         -258.596E-06  
               43.2033E-03      -335.834E-06  
               43.6014E-03      -442.131E-06  
               44.0047E-03      -417.784E-06  
               44.4028E-03      -235.522E-06  
               44.801E-03        -69.3997E-06 
               45.2042E-03        14.5706E-06 
               45.6023E-03       114.832E-06  
               46.0005E-03       315.674E-06  
               46.4037E-03       508.594E-06  
               46.8019E-03       489.188E-06  
               47.2E-03          240.787E-06  
               47.6032E-03       -97.4073E-06 
               48.0014E-03      -354.096E-06  
               48.4046E-03      -477.037E-06  
               48.8028E-03      -434.721E-06  
               49.2009E-03      -228.777E-06  
