
                  X               _temp_1     

                0.                 0.         
              403.244E-06          3.52669E-06
              801.384E-06         22.964E-03  
                1.20463E-03      240.703E-03  
                1.60277E-03      561.683E-03  
                2.00091E-03      762.371E-03  
                2.40415E-03      496.831E-03  
                2.80229E-03     -178.68E-03   
                3.20043E-03     -658.624E-03  
                3.60368E-03     -656.495E-03  
                4.00182E-03     -334.259E-03  
                4.40506E-03     -366.327E-03  
                4.8032E-03      -538.242E-03  
                5.20134E-03     -217.629E-03  
                5.60459E-03      630.964E-03  
                6.00273E-03        1.03139    
                6.40087E-03      416.144E-03  
                6.80411E-03     -279.373E-03  
                7.20225E-03     -331.59E-03   
                7.60039E-03      270.763E-03  
                8.00363E-03      501.857E-03  
                8.40177E-03       59.7403E-03 
                8.80502E-03     -503.697E-03  
                9.20316E-03     -651.727E-03  
                9.6013E-03      -561.91E-03   
               10.0045E-03      -398.336E-03  
               10.4027E-03      -250.159E-03  
               10.8008E-03       140.481E-03  
               11.2041E-03       524.534E-03  
               11.6022E-03       680.2E-03    
               12.0003E-03       575.447E-03  
               12.4036E-03       334.844E-03  
               12.8017E-03        71.097E-03  
               13.205E-03       -355.231E-03  
               13.6031E-03      -580.338E-03  
               14.0013E-03      -560.708E-03  
               14.4045E-03      -163.798E-03  
               14.8026E-03       133.318E-03  
               15.2008E-03       -34.9809E-03 
               15.604E-03       -447.554E-03  
               16.0022E-03      -588.094E-03  
               16.4003E-03        -5.88705E-03
               16.8035E-03       775.317E-03  
               17.2017E-03       854.616E-03  
               17.6049E-03       361.234E-03  
               18.0031E-03       -10.2136E-03 
               18.4012E-03       115.247E-03  
               18.8045E-03       161.357E-03  
               19.2026E-03      -398.665E-03  
               19.6007E-03      -977.544E-03  
               20.004E-03       -945.335E-03  
               20.4021E-03      -106.099E-03  
               20.8003E-03       411.422E-03  
               21.2035E-03       315.437E-03  
               21.6016E-03       -63.0343E-03 
               22.0049E-03       -86.8046E-03 
               22.403E-03        147.462E-03  
               22.8012E-03       288.407E-03  
               23.2044E-03       386.988E-03  
               23.6026E-03       457.282E-03  
               24.0007E-03       282.227E-03  
               24.4039E-03      -136.512E-03  
               24.8021E-03      -538.111E-03  
               25.2002E-03      -571.773E-03  
               25.6035E-03      -460.596E-03  
               26.0016E-03      -455.221E-03  
               26.4048E-03      -408.692E-03  
               26.803E-03          5.00406E-03
               27.2011E-03       650.657E-03  
               27.6044E-03       861.432E-03  
               28.0025E-03       434.377E-03  
               28.4007E-03      -227.197E-03  
               28.8039E-03      -373.158E-03  
               29.202E-03        130.854E-03  
               29.6002E-03       528.273E-03  
               30.0034E-03       286.325E-03  
               30.4016E-03      -370.55E-03   
               30.8048E-03      -660.465E-03  
               31.2029E-03      -386.863E-03  
               31.6011E-03      -168.997E-03  
               32.0043E-03      -341.232E-03  
               32.4025E-03      -442.171E-03  
               32.8006E-03        75.2065E-03 
               33.2038E-03       871.654E-03  
               33.602E-03          1.03259    
               34.0001E-03       497.666E-03  
               34.4034E-03       -96.0876E-03 
               34.8015E-03      -254.68E-03   
               35.2048E-03      -243.142E-03  
               35.6029E-03      -203.946E-03  
               36.001E-03       -127.173E-03  
               36.4043E-03        19.5266E-03 
               36.8024E-03       -90.9754E-03 
               37.2006E-03      -451.696E-03  
               37.6038E-03      -523.029E-03  
               38.0019E-03      -108.225E-03  
               38.4001E-03       319.294E-03  
               38.8033E-03       372.734E-03  
               39.2015E-03       298.06E-03   
               39.6047E-03       556.343E-03  
               40.0029E-03       838.587E-03  
               40.401E-03        553.134E-03  
               40.8042E-03      -308.975E-03  
               41.2024E-03      -956.428E-03  
               41.6005E-03      -809.655E-03  
               42.0038E-03      -129.217E-03  
               42.4019E-03       245.799E-03  
               42.8E-03          -17.0914E-03 
               43.2033E-03      -301.98E-03   
               43.6014E-03      -164.336E-03  
               44.0047E-03       309.584E-03  
               44.4028E-03       508.992E-03  
               44.801E-03        303.709E-03  
               45.2042E-03       173.265E-03  
               45.6023E-03       376.665E-03  
               46.0005E-03       566.592E-03  
               46.4037E-03       278.45E-03   
               46.8019E-03      -379.581E-03  
               47.2E-03         -810.187E-03  
               47.6032E-03      -795.643E-03  
               48.0014E-03      -476.192E-03  
               48.4046E-03      -112.809E-03  
               48.8028E-03       328.553E-03  
               49.2009E-03       650.738E-03  
               49.6042E-03       507.871E-03  
