
                  X               _temp_1     

                0.                 0.         
              100.E-03           100.E-03     
              200.E-03           200.E-03     
              350.E-03           350.E-03     
              575.E-03           575.E-03     
              912.5E-03          912.5E-03    
                1.41875            1.41875    
                2.17812            2.17812    
                3.31719            3.31719    
                5.02578            5.02578    
                7.58867            7.58867    
               11.433             11.433      
               12.8746            12.8746     
               14.3163            14.3163     
               15.7579            15.7579     
               17.1995            17.1995     
               18.6411            18.6411     
               20.                20.         




