
                  X               _temp_2     

                0.                 0.         
              100.E-03            -8.23644E-06
              200.E-03           -16.4904E-06 
              350.E-03           -28.905E-06  
              575.E-03           -47.6046E-06 
              912.5E-03          -75.8364E-06 
                1.41875         -118.62E-06   
                2.17812         -183.865E-06  
                3.31719         -284.473E-06  
                5.02578         -442.819E-06  
                7.58867         -703.825E-06  
               11.433             -1.17673E-03
               17.1995            -2.34398E-03
               20.                -3.21476E-03




