
                  X               _temp_1     

                0.                 0.         
              100.E-03           -75.E-03     
              200.E-03          -150.E-03     
              350.E-03          -262.5E-03    
              575.E-03          -431.25E-03   
              912.5E-03         -684.375E-03  
                1.41875           -1.06406    
                2.17812           -1.63359    
                3.31719           -2.48789    
                5.02578           -3.76934    
                7.58867           -5.6915     
               11.433             -8.57476    
               17.1995           -12.8996     
               20.               -15.         




