
                  X               _temp_2     

                0.                 0.         
               15.625E-03        -78.125E-03  
               31.25E-03        -156.25E-03   
               46.875E-03       -234.375E-03  
               70.3125E-03      -351.562E-03  
              105.469E-03       -527.344E-03  
              158.203E-03       -791.016E-03  
              237.305E-03         -1.18652    
              355.957E-03         -1.77979    
              533.936E-03         -2.66968    
              800.903E-03         -4.00452    
              850.677E-03         -4.25339    
              925.339E-03         -4.62669    
                1.                -5.         




