
                  X               _temp_1     

                0.                 0.         
              100.E-03            10.9542E-06 
              200.E-03            21.8801E-06 
              350.E-03            38.2131E-06 
              575.E-03            62.5942E-06 
              912.5E-03           98.9154E-06 
                1.41875          152.884E-06  
                2.17812          232.849E-06  
                3.31719          351.102E-06  
                5.02578          526.916E-06  
                7.58867          792.8E-06    
               11.433              1.22808E-03
               12.8746             1.43713E-03
               14.3163             1.71674E-03
               15.7579             1.94503E-03
               17.1995             2.14729E-03
               18.6411             2.34284E-03
               20.                 2.52717E-03




