
                  X               _temp_1     

                0.                 0.         
               15.625E-03        -11.1696E-06 
               31.25E-03         -22.3513E-06 
               46.875E-03        -33.546E-06  
               70.3125E-03       -50.3632E-06 
              105.469E-03        -75.6496E-06 
              158.203E-03       -113.729E-06  
              237.305E-03       -171.229E-06  
              355.957E-03       -258.495E-06  
              533.936E-03       -392.253E-06  
              800.903E-03       -601.706E-06  
              850.677E-03       -642.721E-06  
              925.339E-03       -704.714E-06  
                1.              -768.107E-06  




