
                  X               _temp_2     

                0.                 0.         
              100.E-03            10.96E-06   
              200.E-03            21.9082E-06 
              300.E-03            32.8438E-06 
              450.E-03            49.2215E-06 
              675.E-03            73.7237E-06 
                1.0125           110.308E-06  
                1.51875          164.717E-06  
                2.27813          244.967E-06  
                3.41719          361.299E-06  
                5.12578          525.287E-06  
                7.68867          745.645E-06  
               11.533              1.03072E-03
               15.3773             1.2752E-03 
               19.2217             1.49286E-03
               20.                 1.53349E-03




