
                  X               _temp_1     

                0.                 0.         
              100.E-03           100.E-03     
              200.E-03           200.E-03     
              300.E-03           300.E-03     
              450.E-03           450.E-03     
              675.E-03           675.E-03     
                1.0125             1.0125     
                1.51875            1.51875    
                2.27813            2.27813    
                3.41719            3.41719    
                5.12578            5.12578    
                7.68867            7.68867    
               11.533             11.533      
               15.3773            15.3773     
               19.2217            19.2217     
               20.                20.         




