
                  X               _temp_2     

                0.                 0.         
              100.E-03           -16.4598E-06 
              200.E-03           -32.9417E-06 
              300.E-03           -49.4434E-06 
              450.E-03           -74.2285E-06 
              675.E-03          -111.47E-06   
                1.0125          -167.455E-06  
                1.51875         -251.718E-06  
                2.27813         -379.191E-06  
                2.56289         -427.538E-06  
                2.66968         -445.778E-06  
                2.82986         -473.259E-06  
                3.07013         -514.8E-06    
                3.43054         -577.97E-06   
                3.97115         -675.26E-06   
                4.51176         -776.343E-06  
                5.05237         -882.957E-06  
                5.86328           -1.05631E-03
                7.07965           -1.36475E-03
                8.90421           -2.10882E-03
                9.36035           -2.4302E-03 
                9.36748           -2.44832E-03
                9.3746            -2.45452E-03
                9.37471           -2.45463E-03
                9.37472           -2.45463E-03
                9.37472           -2.45463E-03
                9.37472           -2.45463E-03
                9.37472           -2.45463E-03
                9.37472           -2.45463E-03




