
                  X               _temp_1     

                0.                 0.         
              100.E-03          -150.E-03     
              200.E-03          -300.E-03     
              300.E-03          -450.E-03     
              450.E-03          -675.E-03     
              675.E-03            -1.0125     
                1.0125            -1.51875    
                1.51875           -2.27813    
                2.27813           -3.41719    
                2.56289           -3.84434    
                2.66968           -4.00452    
                2.82986           -4.24479    
                3.07013           -4.60519    
                3.43054           -5.1458     
                3.97115           -5.95672    
                4.51176           -6.76763    
                5.05237           -7.57855    
                5.86328           -8.79492    
                7.07965          -10.6195     
                8.90421          -13.3563     
                9.36035          -14.0405     
                9.36748          -14.0512     
                9.3746           -14.0619     
                9.37471          -14.0621     
                9.37472          -14.0621     
                9.37472          -14.0621     
                9.37472          -14.0621     
                9.37472          -14.0621     
                9.37472          -14.0621     




