
                  X               _temp_2     

                0.                 0.         
                3.90625E-03       19.5312E-03 
                7.8125E-03        39.0625E-03 
               11.7188E-03        58.5938E-03 
               17.5781E-03        87.8906E-03 
               26.3672E-03       131.836E-03  
               39.5508E-03       197.754E-03  
               59.3262E-03       296.631E-03  
               88.9893E-03       444.946E-03  
              133.484E-03        667.419E-03  
              200.226E-03          1.00113    
              300.339E-03          1.50169    
              450.508E-03          2.25254    
              675.762E-03          3.37881    
                1.                 5.         




