
                  X               _temp_2     

                0.                 0.         
                3.90625E-03        2.78186E-06
                7.8125E-03         5.56635E-06
               11.7188E-03         8.35339E-06
               17.5781E-03        12.5388E-06 
               26.3672E-03        18.8277E-06 
               39.5508E-03        28.2855E-06 
               59.3262E-03        42.5261E-06 
               88.9893E-03        64.0064E-06 
              133.484E-03         96.4847E-06 
              200.226E-03        145.729E-06  
              300.339E-03        220.519E-06  
              450.508E-03        333.494E-06  
              675.762E-03        499.286E-06  
                1.               719.051E-06  




