
                  X               _temp_2     

                0.                 0.         
                5.00433E-03      130.788E-06  
               10.0028E-03        25.3379E-06 
               15.0058E-03      -179.317E-06  
               20.0007E-03      -215.024E-06  
               25.0061E-03       -91.1389E-06 
               30.0041E-03       271.616E-06  
               35.0006E-03       360.609E-06  
               40.0062E-03       -46.7066E-06 
               45.0035E-03      -355.205E-06  
               50.0047E-03      -318.185E-06  
               55.0028E-03        27.3786E-06 
               60.001E-03        355.085E-06  
               65.0049E-03       170.38E-06   
               70.003E-03        -89.0524E-06 
               75.0009E-03      -174.798E-06  
               80.0029E-03      -155.844E-06  
               85.0066E-03        17.6035E-06 
               90.0053E-03        93.2986E-06 
               95.002E-03        145.689E-06  
              100.006E-03        201.035E-06  
              105.005E-03        -41.0466E-06 
              110.001E-03       -282.25E-06   
              115.003E-03       -251.219E-06  
              120.002E-03         28.0566E-06 
              125.006E-03        373.892E-06  
              130.001E-03        271.498E-06  
              135.002E-03       -169.395E-06  
              140.003E-03       -354.563E-06  
              145.004E-03       -208.267E-06  
              150.001E-03        156.648E-06  
              155.007E-03        321.479E-06  
              160.003E-03         83.9847E-06 
              165.002E-03        -91.1384E-06 
              170.007E-03       -171.504E-06  
              175.E-03          -129.753E-06  
              180.004E-03          6.93043E-06
              185.005E-03         82.4504E-06 
              190.E-03           187.784E-06  
              195.005E-03        166.421E-06  
              200.004E-03       -104.182E-06  
              205.004E-03       -289.031E-06  
              210.005E-03       -193.378E-06  
              215.007E-03        110.029E-06  
              220.003E-03        355.725E-06  
              225.005E-03        150.088E-06  
              230.006E-03       -203.091E-06  
              235.007E-03       -311.537E-06  
              240.001E-03       -146.972E-06  
              245.007E-03        166.883E-06  
              250.004E-03        248.606E-06  
              255.004E-03         90.7906E-06 
              260.005E-03        -45.0213E-06 
              265.006E-03       -159.568E-06  
              270.007E-03       -153.188E-06  
              275.E-03           -23.4276E-06 
              280.001E-03        124.06E-06   
              285.002E-03        246.249E-06  
              290.002E-03        133.643E-06  
              295.003E-03       -186.954E-06  
              300.004E-03       -310.761E-06  
              305.005E-03       -132.988E-06  
              310.005E-03        199.66E-06   
              315.006E-03        357.895E-06  
              320.007E-03         83.5657E-06 
              325.E-03          -224.926E-06  
              330.001E-03       -292.465E-06  
              335.002E-03        -92.0513E-06 
              340.002E-03        193.205E-06  
              345.003E-03        231.609E-06  
              350.004E-03         85.2914E-06 
              355.005E-03        -72.3782E-06 
              360.005E-03       -182.603E-06  
              365.006E-03       -146.712E-06  
              370.007E-03         14.823E-06  
              375.E-03           174.996E-06  
              380.001E-03        240.14E-06   
              385.002E-03         58.7305E-06 
              390.003E-03       -231.304E-06  
              395.003E-03       -284.522E-06  
              400.004E-03        -69.7028E-06 
              405.005E-03        233.246E-06  
              410.005E-03        301.003E-06  
              415.006E-03         24.3709E-06 
              420.007E-03       -235.484E-06  
              425.E-03          -257.998E-06  
              430.001E-03        -43.0466E-06 
              435.002E-03        191.907E-06  
              440.003E-03        207.657E-06  
              445.003E-03         72.6217E-06 
              450.004E-03        -76.9794E-06 
              455.005E-03       -187.558E-06  
              460.005E-03       -148.366E-06  
              465.006E-03         23.0415E-06 
              470.007E-03        198.159E-06  
              475.001E-03        249.373E-06  
              480.001E-03         18.0735E-06 
              485.002E-03       -265.111E-06  
              490.003E-03       -281.046E-06  
              495.003E-03        -21.3367E-06 
              500.004E-03        289.909E-06  
              505.005E-03        281.467E-06  
              510.006E-03        -28.4127E-06 
              515.006E-03       -269.52E-06   
              520.007E-03       -236.319E-06  
              525.001E-03         11.7721E-06 
              530.001E-03        209.518E-06  
              535.002E-03        188.647E-06  
              540.003E-03         52.0932E-06 
              545.003E-03        -91.504E-06  
              550.004E-03       -191.86E-06   
              555.005E-03       -136.803E-06  
              560.006E-03         47.5927E-06 
              565.006E-03        232.764E-06  
              570.E-03           235.754E-06  
              575.001E-03        -50.3371E-06 
              580.001E-03       -310.124E-06  
              585.002E-03       -257.095E-06  
              590.003E-03         56.6669E-06 
              595.004E-03        319.679E-06  
              600.004E-03        217.08E-06   
              605.005E-03        -97.433E-06  
              610.006E-03       -264.871E-06  
              615.006E-03       -172.69E-06   
              620.E-03            50.2563E-06 
              625.001E-03        183.178E-06  
              630.001E-03        152.785E-06  
              635.002E-03         58.5786E-06 
              640.003E-03        -88.6955E-06 
