
                  X               _temp_2     

                0.                 0.         
                5.00123E-03      400.978E-06  
               10.0051E-03       348.627E-06  
               15.0044E-03      -357.378E-06  
               20.0039E-03      -878.675E-06  
               25.0021E-03      -457.163E-06  
               30.0042E-03       992.673E-06  
               35.0035E-03         1.34996E-03
               40.0068E-03       -54.0508E-06 
               45.0063E-03        -1.31584E-03
               50.0058E-03        -1.03225E-03
               55.0047E-03       403.143E-06  
               60.0001E-03         1.2878E-03 
               65.0004E-03       526.172E-06  
               70.0029E-03      -469.468E-06  
               75.0012E-03      -548.025E-06  
               80.0007E-03      -250.507E-06  
               85.0065E-03        72.7655E-06 
               90.004E-03         87.9489E-06 
               95.0051E-03       383.996E-06  
              100.E-03           739.298E-06  
              105.005E-03         71.6266E-06 
              110.005E-03       -867.138E-06  
              115.004E-03         -1.04413E-03
              120.002E-03        115.316E-06  
              125.004E-03          1.4169E-03 
              130.004E-03        957.109E-06  
              135.001E-03       -602.829E-06  
              140.002E-03         -1.32977E-03
              145.003E-03       -538.209E-06  
              150.002E-03        761.956E-06  
              155.002E-03          1.01841E-03
              160.003E-03        163.231E-06  
              165.E-03          -373.993E-06  
              170.006E-03       -376.789E-06  
              175.002E-03       -237.E-06     
              180.002E-03        -94.386E-06  
              185.005E-03         59.9342E-06 
              190.006E-03        656.533E-06  
              195.001E-03        659.808E-06  
              200.006E-03       -270.166E-06  
              205.001E-03         -1.04416E-03
              210.002E-03       -806.371E-06  
              215.006E-03        538.511E-06  
              220.007E-03          1.31683E-03
              225.E-03           505.281E-06  
              230.005E-03       -765.941E-06  
              235.006E-03         -1.0426E-03 
              240.001E-03       -262.262E-06  
              245.001E-03        662.578E-06  
              250.001E-03        694.746E-06  
              255.002E-03        151.459E-06  
              260.003E-03       -144.446E-06  
              265.003E-03       -377.681E-06  
              270.004E-03       -454.872E-06  
              275.005E-03       -278.841E-06  
              280.006E-03        286.605E-06  
              285.006E-03        929.323E-06  
              290.007E-03        503.382E-06  
              295.001E-03       -594.884E-06  
              300.001E-03         -1.1686E-03 
              305.002E-03       -481.47E-06   
              310.003E-03        861.747E-06  
              315.003E-03          1.19991E-03
              320.004E-03        206.041E-06  
              325.005E-03       -867.656E-06  
              330.006E-03       -877.658E-06  
              335.006E-03        -96.7327E-06 
              340.E-03           614.771E-06  
              345.001E-03        582.464E-06  
              350.001E-03        175.836E-06  
              355.002E-03       -167.892E-06  
              360.003E-03       -487.823E-06  
              365.004E-03       -531.785E-06  
              370.004E-03       -197.924E-06  
              375.005E-03        552.59E-06   
              380.006E-03        926.64E-06   
              385.006E-03        248.553E-06  
              390.E-03          -795.643E-06  
              395.001E-03         -1.07089E-03
              400.001E-03       -156.505E-06  
              405.002E-03        972.216E-06  
              410.003E-03        995.56E-06   
              415.004E-03        -65.1738E-06 
              420.004E-03       -853.091E-06  
              425.005E-03       -705.146E-06  
              430.006E-03          6.70363E-06
              435.006E-03        536.398E-06  
              440.E-03           450.039E-06  
              445.001E-03        233.902E-06  
              450.002E-03       -112.637E-06  
              455.002E-03       -519.086E-06  
              460.003E-03       -611.9E-06    
              465.004E-03       -147.506E-06  
              470.004E-03        771.799E-06  
              475.005E-03          1.00353E-03
              480.006E-03         57.5586E-06 
              485.007E-03         -1.02951E-03
              490.E-03            -1.0108E-03 
              495.001E-03        137.6E-06    
              500.002E-03          1.13653E-03
              505.002E-03        806.161E-06  
              510.003E-03       -336.527E-06  
              515.004E-03       -832.702E-06  
              520.004E-03       -515.345E-06  
              525.005E-03        133.048E-06  
              530.006E-03        449.732E-06  
              535.007E-03        397.672E-06  
              540.E-03           326.262E-06  
              545.001E-03        -91.6543E-06 
              550.002E-03       -630.758E-06  
              555.002E-03       -710.413E-06  
              560.003E-03         52.2856E-06 
              565.004E-03          1.04565E-03
              570.005E-03        935.442E-06  
              575.005E-03       -322.16E-06   
              580.006E-03         -1.20845E-03
              585.007E-03       -733.875E-06  
              590.E-03           505.538E-06  
              595.001E-03          1.10486E-03
              600.002E-03        411.792E-06  
              605.002E-03       -447.474E-06  
              610.003E-03       -601.963E-06  
              615.004E-03       -306.143E-06  
              620.005E-03         68.9427E-06 
              625.005E-03        248.901E-06  
              630.006E-03        527.206E-06  
              635.007E-03        523.414E-06  
              640.E-03          -181.963E-06  
              645.001E-03       -888.964E-06  
              650.002E-03       -758.461E-06  
