
                  X               _temp_2     

                0.                 0.         
                5.00123E-03        1.30969    
               10.0051E-03       477.361E-03  
               15.0044E-03        -1.11193    
               20.0039E-03        -1.19988    
               25.0021E-03       744.886E-03  
               30.0042E-03         1.26627    
               35.0035E-03       -42.6042E-03 
               40.0068E-03        -1.26596    
               45.0063E-03      -631.425E-03  
               50.0058E-03         1.11996    
               55.0047E-03       961.577E-03  
               60.0001E-03      -393.974E-03  
               65.0004E-03      -906.736E-03  
               70.0029E-03        43.7534E-03 
               75.0012E-03       823.904E-03  
               80.0007E-03       104.984E-03  
               85.0065E-03      -792.942E-03  
               90.004E-03       -361.205E-03  
               95.0051E-03       804.095E-03  
              100.E-03           509.684E-03  
              105.005E-03       -706.128E-03  
              110.005E-03         -1.10977    
              115.004E-03        162.755E-03  
              120.002E-03          1.34009    
              125.004E-03        377.428E-03  
              130.004E-03         -1.08383    
              135.001E-03         -1.10301    
              140.002E-03        563.583E-03  
              145.003E-03          1.24682    
              150.002E-03        147.091E-03  
              155.002E-03       -983.812E-03  
              160.003E-03       -663.323E-03  
              165.E-03           683.002E-03  
              170.006E-03        653.747E-03  
              175.002E-03       -326.235E-03  
              180.002E-03       -788.863E-03  
              185.005E-03        -16.6093E-03 
              190.006E-03        738.759E-03  
              195.001E-03        140.261E-03  
              200.006E-03       -693.407E-03  
              205.001E-03       -578.878E-03  
              210.002E-03        557.198E-03  
              215.006E-03        773.99E-03   
              220.007E-03       -148.029E-03  
              225.E-03          -715.68E-03   
              230.005E-03       -325.282E-03  
              235.006E-03        644.886E-03  
              240.001E-03        423.057E-03  
              245.001E-03       -376.529E-03  
              250.001E-03       -487.275E-03  
              255.002E-03         78.4411E-03 
              260.003E-03        495.831E-03  
              265.003E-03        -82.8423E-03 
              270.004E-03       -611.454E-03  
              275.005E-03       -232.043E-03  
              280.006E-03        650.066E-03  
              285.006E-03        463.894E-03  
              290.007E-03       -359.716E-03  
              295.001E-03       -771.211E-03  
              300.001E-03       -124.56E-03   
              305.002E-03        839.263E-03  
              310.003E-03        483.522E-03  
              315.003E-03       -360.561E-03  
              320.004E-03       -720.872E-03  
              325.005E-03        -95.3854E-03 
              330.006E-03        551.982E-03  
              335.006E-03        293.502E-03  
              340.E-03          -243.779E-03  
              345.001E-03       -409.039E-03  
              350.001E-03         62.6166E-03 
              355.002E-03        236.711E-03  
              360.003E-03        -22.3147E-03 
              365.004E-03       -251.849E-03  
              370.004E-03        -29.2632E-03 
              375.005E-03        394.879E-03  
              380.006E-03        170.953E-03  
              385.006E-03       -271.806E-03  
              390.E-03          -441.983E-03  
              395.001E-03        114.674E-03  
              400.001E-03        532.51E-03   
              405.002E-03        196.989E-03  
              410.003E-03       -330.132E-03  
              415.004E-03       -538.046E-03  
              420.004E-03        140.962E-03  
              425.005E-03        400.39E-03   
              430.006E-03         74.312E-03  
              435.006E-03       -293.126E-03  
              440.E-03          -210.12E-03   
              445.001E-03        319.503E-03  
              450.002E-03        268.451E-03  
              455.002E-03       -230.346E-03  
              460.003E-03       -406.967E-03  
              465.004E-03        207.75E-03   
              470.004E-03        604.209E-03  
              475.005E-03        194.082E-03  
              480.006E-03       -613.177E-03  
              485.007E-03       -613.716E-03  
              490.E-03           350.208E-03  
              495.001E-03        755.27E-03   
              500.002E-03        169.398E-03  
              505.002E-03       -694.452E-03  
              510.003E-03       -502.771E-03  
              515.004E-03        397.201E-03  
              520.004E-03        562.844E-03  
              525.005E-03         -2.48529E-03
              530.006E-03       -513.319E-03  
              535.007E-03          3.49176E-03
              540.E-03           466.234E-03  
              545.001E-03        127.54E-03   
              550.002E-03       -431.173E-03  
              555.002E-03       -364.279E-03  
              560.003E-03        505.545E-03  
              565.004E-03        603.513E-03  
              570.005E-03       -260.609E-03  
              575.005E-03       -828.693E-03  
              580.006E-03       -171.313E-03  
              585.007E-03        723.576E-03  
              590.E-03           577.798E-03  
              595.001E-03       -393.287E-03  
              600.002E-03       -752.475E-03  
              605.002E-03        177.301E-03  
              610.003E-03        626.582E-03  
              615.004E-03        153.198E-03  
              620.005E-03       -521.385E-03  
              625.005E-03       -310.317E-03  
              630.006E-03        609.61E-03   
              635.007E-03        428.027E-03  
              640.E-03          -437.883E-03  
              645.001E-03       -738.784E-03  
              650.002E-03        115.192E-03  
              655.003E-03        922.906E-03  
              660.003E-03        309.435E-03  
