
                  X               _temp_1     

                0.                 0.         
              100.912E-06         36.8971E-33 
              200.924E-06          1.1483E-15 
              300.818E-06         11.4495E-09 
              400.468E-06        -47.9056E-09 
              501.711E-06          4.43064E-06
              600.538E-06         38.9664E-06 
              701.093E-06        134.491E-06  
              801.665E-06        326.729E-06  
              900.468E-06        640.737E-06  
                1.00159E-03        1.12214E-03
                1.10084E-03        1.73349E-03
                1.20019E-03        2.45256E-03
                1.30155E-03        3.24845E-03
                1.40077E-03        4.03458E-03
                1.50197E-03        4.78345E-03
                1.60109E-03        5.35394E-03
                1.70008E-03        5.66377E-03
                1.80093E-03        5.60155E-03
                1.90178E-03        5.17837E-03
                2.00071E-03        4.47007E-03
                2.10196E-03        3.54914E-03
                2.20141E-03        2.53015E-03
                2.30085E-03        1.44811E-03
                2.40023E-03      418.042E-06  
                2.50149E-03     -502.397E-06  
                2.60059E-03       -1.16545E-03
                2.70157E-03       -1.60467E-03
                2.80057E-03       -1.79642E-03
                2.90184E-03       -1.8051E-03 
                3.00125E-03       -1.68826E-03
                3.10073E-03       -1.50248E-03
                3.20009E-03       -1.32059E-03
                3.30132E-03       -1.11473E-03
                3.40047E-03     -973.045E-06  
                3.50181E-03     -818.838E-06  
                3.6016E-03      -695.038E-06  
                3.70152E-03     -562.212E-06  
                3.80141E-03     -372.145E-06  
                3.90126E-03      -78.2734E-06 
                4.00094E-03      306.289E-06  
                4.1003E-03       778.242E-06  
                4.20154E-03        1.29774E-03
                4.30073E-03        1.76362E-03
                4.40193E-03        2.15633E-03
                4.50102E-03        2.45169E-03
                4.60012E-03        2.70304E-03
                4.70128E-03        2.92849E-03
                4.80039E-03        3.18677E-03
                4.90151E-03        3.46511E-03
                5.00064E-03        3.74618E-03
                5.10173E-03        4.00855E-03
                5.2009E-03         4.10924E-03
                5.30036E-03        3.98093E-03
                5.40184E-03        3.55618E-03
                5.50113E-03        2.93354E-03
                5.60052E-03        2.10373E-03
                5.70009E-03        1.06846E-03
                5.80156E-03     -193.507E-06  
                5.90119E-03       -1.50977E-03
                6.0012E-03        -2.72809E-03
                6.10115E-03       -3.67311E-03
                6.20097E-03       -4.20642E-03
                6.30077E-03       -4.20609E-03
                6.40065E-03       -3.69738E-03
                6.50047E-03       -2.91545E-03
                6.60015E-03       -2.05431E-03
                6.7019E-03        -1.24428E-03
                6.80174E-03     -646.24E-06   
                6.90154E-03     -223.151E-06  
                7.00114E-03       49.5586E-06 
                7.10068E-03      218.884E-06  
                7.20009E-03      298.283E-06  
                7.30158E-03      395.191E-06  
                7.40116E-03      489.728E-06  
                7.50077E-03      648.629E-06  
                7.60038E-03      897.371E-06  
                7.70004E-03        1.14046E-03
                7.8016E-03         1.29915E-03
                7.90107E-03        1.32699E-03
                8.00033E-03        1.25182E-03
                8.10149E-03        1.1641E-03 
                8.2008E-03         1.11045E-03
                8.30048E-03        1.04578E-03
                8.40202E-03        1.03322E-03
                8.50132E-03        1.08779E-03
                8.60069E-03        1.19384E-03
                8.70002E-03        1.37204E-03
                8.80143E-03        1.48589E-03
                8.90091E-03        1.41897E-03
                9.00056E-03        1.1773E-03 
                9.10008E-03      710.767E-06  
                9.20151E-03      -35.4481E-06 
                9.3009E-03      -935.617E-06  
                9.40005E-03       -1.93749E-03
                9.50124E-03       -3.01259E-03
                9.60058E-03       -3.90171E-03
                9.70032E-03       -4.44571E-03
                9.80017E-03       -4.64716E-03
                9.90192E-03       -4.6034E-03 
               10.0013E-03        -4.43031E-03
               10.1006E-03        -4.13952E-03
               10.202E-03         -3.68663E-03
               10.3015E-03        -3.17382E-03
               10.401E-03         -2.73469E-03
               10.5005E-03        -2.36953E-03
               10.6019E-03        -2.06541E-03
               10.7008E-03        -1.76575E-03
               10.8016E-03        -1.41863E-03
               10.9005E-03        -1.07748E-03
               11.0015E-03      -812.031E-06  
               11.1007E-03      -653.95E-06   
               11.202E-03       -572.902E-06  
               11.3013E-03      -638.934E-06  
               11.4006E-03      -807.635E-06  
               11.5018E-03        -1.05179E-03
               11.601E-03         -1.33388E-03
               11.7003E-03        -1.59321E-03
               11.8E-03           -1.72791E-03
               11.9017E-03        -1.71712E-03
               12.0014E-03        -1.63217E-03
               12.1009E-03        -1.38268E-03
               12.2002E-03        -1.0223E-03 
               12.3016E-03      -595.772E-06  
               12.401E-03       -179.534E-06  
