
                  X               _temp_1     

                0.                 0.         
              100.864E-06          0.         
              200.707E-06         16.4627E-12 
              300.405E-06         66.8272E-06 
              401.898E-06          4.86558E-03
              501.219E-06        111.668E-03  
              600.377E-06        418.463E-03  
              701.516E-06          1.10649    
              800.747E-06          1.97235    
              900.069E-06          3.12643    
                1.00159E-03        3.92896    
                1.10105E-03        4.29189    
                1.2004E-03         3.68313    
                1.30174E-03        2.66431    
                1.40105E-03        1.08998    
                1.50037E-03     -219.287E-03  
                1.60168E-03       -1.42323    
                1.70099E-03       -2.45851    
                1.80038E-03       -3.35716    
                1.90175E-03       -4.13872    
                2.00109E-03       -4.26973    
                2.10052E-03       -3.68163    
                2.20006E-03       -2.51031    
                2.30168E-03       -1.10083    
                2.40125E-03     -317.235E-03  
                2.50088E-03       49.6684E-03 
                2.60057E-03     -460.282E-03  
                2.7002E-03      -955.203E-03  
                2.80176E-03       -1.39659    
                2.90121E-03       -1.05109    
                3.00067E-03     -151.058E-03  
                3.10015E-03      644.1E-03    
                3.20175E-03      968.485E-03  
                3.3014E-03       822.692E-03  
                3.40114E-03      989.102E-03  
                3.50095E-03        1.68367    
                3.6008E-03         2.6038     
                3.70059E-03        3.36966    
                3.80026E-03        3.23431    
                3.90188E-03        2.50511    
                4.00142E-03        1.38141    
                4.10081E-03      -18.2247E-03 
                4.20012E-03       -1.01781    
                4.30159E-03       -1.30877    
                4.40107E-03     -169.692E-03  
                4.50058E-03        1.15549    
                4.60012E-03        2.291      
                4.70161E-03        1.87881    
                4.80099E-03      727.572E-03  
                4.90048E-03     -758.223E-03  
                5.00003E-03       -1.77566    
                5.10157E-03       -2.53431    
                5.20106E-03       -3.33841    
                5.30068E-03       -4.15332    
                5.40024E-03       -4.83391    
                5.50174E-03       -5.01671    
                5.6013E-03        -4.56746    
                5.70086E-03       -3.37266    
                5.80041E-03       -1.67865    
                5.90202E-03      581.253E-03  
                6.00164E-03        2.23837    
                6.10127E-03        2.95578    
                6.20092E-03        2.37531    
                6.30069E-03        1.63713    
                6.40048E-03        1.15931    
                6.50016E-03        1.5128     
                6.60199E-03        1.52282    
                6.70185E-03      750.493E-03  
                6.80171E-03     -710.171E-03  
                6.90164E-03     -876.817E-03  
                7.0016E-03       497.4E-03    
                7.10145E-03        2.72441    
                7.20139E-03        3.97906    
                7.3013E-03         3.70375    
                7.40104E-03        2.67777    
                7.50062E-03        1.67498    
                7.60014E-03      761.566E-03  
                7.70161E-03     -413.297E-03  
                7.80109E-03       -1.53279    
                7.90072E-03       -2.48107    
                8.00034E-03       -2.80954    
                8.10199E-03       -2.62125    
                8.20164E-03       -2.01099    
                8.3014E-03      -987.568E-03  
                8.40128E-03      434.815E-03  
                8.50119E-03        1.62799    
                8.60112E-03        1.65443    
                8.70109E-03      352.648E-03  
                8.80103E-03       -1.70693    
                8.90085E-03       -3.66091    
                9.00061E-03       -4.4457     
                9.10041E-03       -4.11       
                9.20024E-03       -3.54637    
                9.30011E-03       -3.41175    
                9.40199E-03       -3.1711     
                9.50179E-03       -2.28643    
                9.60151E-03     -714.038E-03  
                9.70125E-03        1.14548    
                9.80087E-03        2.14068    
                9.90047E-03        2.39908    
               10.0002E-03         2.22779    
               10.102E-03          1.96181    
               10.2018E-03         1.58672    
               10.3017E-03         1.03065    
               10.4015E-03       656.541E-03  
               10.5014E-03       723.637E-03  
               10.6012E-03         1.45572    
               10.701E-03          2.21969    
               10.8011E-03         2.5583     
               10.9011E-03         2.42932    
               11.001E-03          1.99641    
               11.1009E-03         1.62802    
               11.2008E-03         1.06138    
               11.3007E-03       574.724E-03  
               11.4005E-03       -23.9579E-03 
               11.5002E-03      -450.483E-03  
               11.6018E-03      -412.832E-03  
               11.7014E-03      -720.935E-03  
               11.8012E-03        -1.48097    
               11.901E-03         -2.41624    
               12.0008E-03        -3.08923    
               12.1006E-03        -2.73853    
               12.2004E-03        -1.47819    
               12.3002E-03      -482.729E-03  
               12.4001E-03      -564.205E-03  
               12.502E-03       -967.307E-03  
               12.602E-03       -845.387E-03  
               12.7019E-03      -241.096E-03  
               12.8019E-03       251.323E-03  
               12.9017E-03       361.16E-03   
               13.0017E-03        85.8925E-03 
               13.1016E-03      -749.963E-03  
               13.2016E-03        -1.89471    
               13.3015E-03        -3.43064    
               13.4014E-03        -4.42815    
               13.5013E-03        -3.95134    
