
                  X               _temp_1     

                0.                 0.         
                5.00595E-03        2.47198    
               10.0012E-03       603.995E-03  
               15.0003E-03        -2.77674    
               20.0068E-03       862.158E-03  
               25.E-03          -515.318E-03  
               30.0068E-03         3.37412    
               35.0026E-03        -4.42653    
               40.0014E-03        -1.86208    
               45.0069E-03        -1.76149    
               50.0019E-03       469.476E-03  
               55.0025E-03         2.28543    
               60.006E-03          2.52905    
               65.0066E-03       316.903E-03  
               70.0037E-03        -1.93453    
               75.0003E-03        -1.92135    
               80.004E-03        794.132E-03  
               85.0068E-03       543.864E-03  
               90.0015E-03         1.21939    
               95.0026E-03         1.44157    
              100.004E-03          1.65609    
              105.001E-03         -2.18117    
              110.005E-03       -873.923E-03  
              115.004E-03        270.63E-03   
              120.005E-03        461.498E-03  
              125.003E-03          1.85468    
              130.002E-03       -338.273E-03  
              135.001E-03       -799.017E-03  
              140.004E-03       -105.114E-03  
              145.006E-03          2.26309    
              150.006E-03          2.44144    
              155.001E-03          2.5179     
              160.001E-03         -2.38651    
              165.E-03            75.9705E-03 
              170.006E-03        769.788E-03  
              175.001E-03          1.00138    
              180.003E-03         -1.29568    
              185.005E-03       -631.763E-03  
              190.004E-03          1.36273    
              195.001E-03         -1.01496    
              200.002E-03         -2.86296    
              205.001E-03       -551.824E-03  
              210.006E-03        508.637E-03  
              215.E-03            -1.24423    
              220.005E-03       -668.817E-03  
              225.005E-03         -1.20415    
              230.E-03          -229.733E-03  
              235.005E-03       -273.095E-03  
              240.005E-03          1.9653     
              245.E-03             1.14371    
              250.004E-03         -1.63498    
              255.005E-03        953.941E-03  
              260.004E-03          1.01174    
              265.003E-03       -692.465E-03  
              270.004E-03       -281.516E-03  
              275.006E-03        715.086E-03  
              280.006E-03        970.321E-03  
              285.002E-03         -1.49973    
              290.001E-03         -1.92266    
              295.005E-03       -956.363E-03  
              300.003E-03        331.978E-03  
              305.004E-03        630.175E-03  
              310.001E-03          1.43479    
              315.004E-03         -1.649      
              320.E-03           140.93E-03   
              325.004E-03       -613.012E-03  
              330.003E-03        390.875E-03  
              335.004E-03        959.367E-03  
              340.E-03          -327.327E-03  
              345.005E-03          1.27438    
              350.005E-03       -662.877E-03  
              355.003E-03        -76.2161E-03 
              360.006E-03       -348.405E-03  
              365.001E-03        665.844E-03  
              370.006E-03          1.57123    
              375.003E-03         89.0603E-03 
              380.003E-03       -804.371E-03  
              385.002E-03       -595.243E-03  
              390.006E-03       -419.126E-03  
              395.006E-03        492.768E-03  
              400.007E-03         13.2794E-03 
              405.001E-03        381.955E-03  
              410.005E-03          1.35323    
              415.002E-03         -1.50407    
              420.004E-03         -1.60906    
              425.005E-03        154.541E-03  
              430.006E-03        370.963E-03  
              435.005E-03        946.584E-03  
              440.001E-03       -552.413E-03  
              445.004E-03        457.947E-03  
              450.001E-03       -686.19E-03   
              455.001E-03        137.989E-03  
              460.004E-03          1.22363    
              465.003E-03        734.675E-03  
              470.004E-03        806.967E-03  
              475.004E-03         -1.52865    
              480.E-03          -639.908E-03  
              485.E-03          -869.777E-03  
              490.005E-03        996.61E-03   
              495.005E-03          1.57997    
              500.003E-03          2.61846    
              505.003E-03         -1.98418    
              510.005E-03         -1.05416    
              515.001E-03       -138.36E-03   
              520.003E-03        384.701E-03  
              525.005E-03       -290.237E-03  
              530.004E-03       -224.936E-03  
              535.005E-03       -133.301E-03  
              540.002E-03         -1.13458    
              545.005E-03       -938.936E-03  
              550.006E-03       -231.947E-03  
              555.003E-03        512.122E-03  
              560.004E-03        297.804E-03  
              565.001E-03        772.037E-03  
              570.E-03          -218.599E-03  
              575.007E-03       -770.001E-03  
              580.001E-03        176.1E-03    
              585.006E-03          2.17483    
              590.003E-03          1.20204    
              595.004E-03         -1.06697    
              600.005E-03        -78.594E-03  
              605.004E-03          1.13679    
              610.002E-03       -379.03E-03   
              615.004E-03        -66.636E-03  
              620.006E-03       -169.988E-03  
              625.001E-03        -41.7842E-03 
              630.006E-03        592.909E-03  
              635.002E-03         -1.25609    
              640.003E-03         -1.12662    
              645.E-03          -246.831E-03  
              650.002E-03       -510.531E-03  
              655.004E-03        -93.7498E-03 
              660.E-03          -811.612E-03  
              665.007E-03        428.604E-03  
              670.001E-03       -102.538E-03  
              675.E-03           274.557E-03  
              680.006E-03          1.21917    
              685.006E-03       -346.534E-03  
